week,position,slp_proj,name,norm_name
2,RB,17.34,Josh Jacobs,josh jacobs
5,RB,17.33,James Cook,james cook
8,QB,17.32,Tyler Huntley,tyler huntley
14,QB,17.32,Geno Smith,geno smith
17,RB,17.32,Ashton Jeanty,ashton jeanty
1,RB,17.31,Jahmyr Gibbs,jahmyr gibbs
3,RB,17.31,Jonathan Taylor,jonathan taylor
5,QB,17.31,Carson Wentz,carson wentz
8,QB,17.3,Aaron Rodgers,aaron rodgers
3,RB,17.29,Bucky Irving,bucky irving
3,RB,17.29,Kenneth Walker,kenneth walker
8,RB,17.27,Derrick Henry,derrick henry
4,QB,17.27,Tua Tagovailoa,tua tagovailoa
16,WR,17.26,Puka Nacua,puka nacua
6,QB,17.25,Aaron Rodgers,aaron rodgers
5,RB,17.25,Omarion Hampton,omarion hampton
8,QB,17.25,Joe Flacco,joe flacco
14,WR,17.24,Jaxon Smith-Njigba,jaxon smithnjigba
8,QB,17.22,Andy Dalton,andy dalton
9,QB,17.2,Michael Penix,michael penix
1,WR,17.18,Ja'Marr Chase,jamarr chase
6,QB,17.17,Jaxson Dart,jaxson dart
9,RB,17.17,Javonte Williams,javonte williams
7,QB,17.16,Jaxson Dart,jaxson dart
7,QB,17.13,Tua Tagovailoa,tua tagovailoa
15,RB,17.13,Jonathan Taylor,jonathan taylor
15,QB,17.13,Caleb Williams,caleb williams
7,QB,17.1,Michael Penix,michael penix
14,RB,17.09,Bijan Robinson,bijan robinson
11,WR,17.09,CeeDee Lamb,ceedee lamb
4,QB,17.08,Spencer Rattler,spencer rattler
1,QB,17.08,Cam Ward,cam ward
11,QB,17.07,Joe Flacco,joe flacco
1,RB,17.06,Bucky Irving,bucky irving
9,QB,17.05,C.J. Stroud,cj stroud
12,QB,17.02,Kirk Cousins,kirk cousins
17,QB,17.02,Bryce Young,bryce young
9,RB,17.02,Bijan Robinson,bijan robinson
2,RB,17.01,Bijan Robinson,bijan robinson
14,QB,17.0,Tua Tagovailoa,tua tagovailoa
