game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_12_DET_NE,BOS00,2014-11-23T18:00:00,KOWD0,Norwood,59.0,11.4,0.0,42.0,meteostat
2014_12_TEN_PHI,PHI00,2014-11-23T18:00:00,72408,Philadelphia International Airport,52.0,11.4,0.0,35.0,meteostat
2014_12_STL_SD,SDG00,2014-11-23T21:05:00,72290,San Diego International Airport,70.0,9.2,0.0,55.0,meteostat
2014_12_ARI_SEA,SEA00,2014-11-23T21:05:00,KBFI0,Seattle / South Park,57.0,4.7,0.0,62.0,meteostat
2014_12_MIA_DEN,DEN00,2014-11-23T21:25:00,KBKF0,Denver / Aurora / Side Creek,38.8,13.9,,33.0,meteostat
2014_12_WAS_SF,SFO01,2014-11-23T21:25:00,KSJC0,San Jose / Santa Clara Trailer Village,62.1,9.2,0.0,44.0,meteostat
2014_12_DAL_NYG,NYC01,2014-11-24T01:30:00,KTEB0,Teterboro,50.0,0.0,0.0,46.0,meteostat
2014_13_SEA_SF,SFO01,2014-11-28T01:30:00,KSJC0,San Jose / Santa Clara Trailer Village,62.1,4.7,0.0,54.0,meteostat
2014_13_SD_BAL,BAL00,2014-11-30T18:00:00,KDMH0,Baltimore,55.0,,,47.0,meteostat
2014_13_CLE_BUF,BUF00,2014-11-30T18:00:00,72528,Buffalo Airport,55.9,13.9,0.0,69.0,meteostat
2014_13_NYG_JAX,JAX00,2014-11-30T18:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,71.1,7.0,0.0,59.0,meteostat
2014_13_CAR_MIN,MIN98,2014-11-30T18:00:00,KSTP0,Saint Paul,15.1,16.1,0.0,55.0,meteostat
2014_13_NO_PIT,PIT00,2014-11-30T18:00:00,72520,Greater Pittsburgh International,61.0,18.3,0.0,62.0,meteostat
2014_13_CIN_TB,TAM00,2014-11-30T18:00:00,72211,Tampa International Airport,75.9,7.0,0.0,48.0,meteostat
2014_13_NE_GB,GNB00,2014-11-30T21:25:00,72645,Austin Straubel International  Airport,28.0,15.0,0.0,60.0,meteostat
2014_13_DEN_KC,KAN00,2014-12-01T01:30:00,KMKC0,Kansas City / Harlem,27.0,16.1,0.0,48.0,meteostat
2014_13_MIA_NYJ,NYC01,2014-12-02T01:30:00,KTEB0,Teterboro,44.1,5.8,,76.0,meteostat
2014_14_DAL_CHI,CHI98,2014-12-05T01:25:00,72534,Chicago Midway Airport,35.1,8.1,0.0,58.0,meteostat
2014_14_PIT_CIN,CIN00,2014-12-07T18:00:00,KLUK0,Cincinnati / Columbia,41.0,7.0,0.0,60.0,meteostat
2014_14_IND_CLE,CLE00,2014-12-07T18:00:00,KBKL0,Brookville / Old Chinatown,37.9,18.3,0.0,62.0,meteostat
2014_14_HOU_JAX,JAX00,2014-12-07T18:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,59.0,10.3,0.0,78.0,meteostat
2014_14_BAL_MIA,MIA00,2014-12-07T18:00:00,KHWO0,Hollywood / Pembroke Pines,78.1,13.9,0.0,66.0,meteostat
2014_14_NYJ_MIN,MIN98,2014-12-07T18:00:00,KSTP0,Saint Paul,33.1,16.1,0.0,78.0,meteostat
2014_14_NYG_TEN,NAS00,2014-12-07T18:00:00,72327,Nashville Airport,46.0,8.1,0.0,60.0,meteostat
2014_14_STL_WAS,WAS00,2014-12-07T18:00:00,KCGS0,College Park / Lakeland,46.4,10.3,,36.0,meteostat
2014_14_BUF_DEN,DEN00,2014-12-07T21:05:00,KBKF0,Denver / Aurora / Side Creek,58.3,16.1,,20.0,meteostat
2014_14_SF_OAK,OAK00,2014-12-07T21:25:00,72493,Metro Oakland International  Airport,60.1,0.0,0.0,83.0,meteostat
2014_14_SEA_PHI,PHI00,2014-12-07T21:25:00,72408,Philadelphia International Airport,46.0,18.3,0.0,28.0,meteostat
2014_14_NE_SD,SDG00,2014-12-08T01:30:00,72290,San Diego International Airport,69.1,3.4,0.0,54.0,meteostat
2014_14_ATL_GB,GNB00,2014-12-09T01:30:00,72645,Austin Straubel International  Airport,33.1,0.0,0.02,96.0,meteostat
